영화명,배급사,전국관객수,개봉일
은밀하게 위대하게,(주)쇼박스,6953800,2013-06-05
스타트렉 다크니스,씨제이이앤엠(주),1605271,2013-05-30
분노의 질주: 더 맥시멈,유니버설픽쳐스인터내셔널 코리아(유),1790457,2013-05-22
몽타주,(주)넥스트엔터테인먼트월드(NEW),2095375,2013-05-16
위대한 개츠비,워너브러더스 코리아(주),1445124,2013-05-16
고령화 가족,씨제이이앤엠(주),1139250,2013-05-09
아이언맨 3,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),9001309,2013-04-25
오블리비언,유니버설픽쳐스인터내셔널 코리아(유),1515356,2013-04-11
전설의 주먹,씨제이이앤엠(주),1737253,2013-04-10
런닝맨,이십세기폭스코리아(주),1416053,2013-04-04
지.아이.조 2,씨제이이앤엠(주),1855917,2013-03-28
연애의 온도,롯데쇼핑㈜롯데엔터테인먼트,1865195,2013-03-21
파파로티,(주)쇼박스,1713891,2013-03-14
웜 바디스,씨제이이앤엠(주),1169839,2013-03-14
신세계,(주)넥스트엔터테인먼트월드(NEW),4682492,2013-02-21
다이하드: 굿 데이 투 다이,이십세기폭스코리아(주),1438056,2013-02-06
베를린,씨제이이앤엠(주),7166199,2013-01-30
7번방의 선물,(주)넥스트엔터테인먼트월드(NEW),12811206,2013-01-23
박수건달,(주)쇼박스,3893216,2013-01-09
라이프 오브 파이,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",1588373,2013-01-01
타워,씨제이이앤엠(주),5181014,2012-12-25
반창꼬,(주)넥스트엔터테인먼트월드(NEW),2471721,2012-12-19
레미제라블,유니버설픽쳐스인터내셔널 코리아(유),5911890,2012-12-19
가문의 영광5 - 가문의 귀환,롯데쇼핑㈜롯데엔터테인먼트,1160021,2012-12-19
호빗: 뜻밖의 여정,워너브러더스 코리아(주),2818993,2012-12-13
나의 PS 파트너 ,씨제이이앤엠(주),1823116,2012-12-06
26년,"(주)인벤트스톤,영화사청어람(주)",2963449,2012-11-29
가디언즈,씨제이이앤엠(주),1075584,2012-11-29
브레이킹 던 part2,(주)넥스트엔터테인먼트월드(NEW),2654817,2012-11-15
내가 살인범이다,(주)쇼박스,2721903,2012-11-08
늑대소년,씨제이이앤엠(주),6654837,2012-10-31
007 스카이폴,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2376145,2012-10-26
용의자X,씨제이이앤엠(주),1552055,2012-10-18
회사원,(주)쇼박스,1110523,2012-10-11
테이큰 2,이십세기폭스코리아(주),2308596,2012-09-27
메리다와 마법의 숲,한국소니픽쳐스릴리징브에나비스타영화㈜,1231024,2012-09-27
간첩,롯데쇼핑㈜롯데엔터테인먼트,1310895,2012-09-20
"광해, 왕이 된 남자",씨제이이앤엠(주),12319542,2012-09-13
본 레거시,유니버설픽쳐스인터내셔널 코리아(유),1015711,2012-09-06
공모자들,"씨너스엔터테인먼트(주),타임스토리그룹(주)",1646142,2012-08-29
이웃사람,롯데쇼핑㈜롯데엔터테인먼트,2434099,2012-08-22
토탈 리콜,한국소니픽쳐스릴리징브에나비스타영화㈜,1219637,2012-08-15
R2B: 리턴투베이스,씨제이이앤엠(주),1201640,2012-08-15
바람과 함께 사라지다,(주)넥스트엔터테인먼트월드(NEW),4897551,2012-08-08
새미의 어드벤쳐 2,씨제이이앤엠(주),1452872,2012-08-01
아이스 에이지 4: 대륙 이동설,이십세기폭스코리아(주),1648070,2012-07-25
도둑들,(주)쇼박스,12983330,2012-07-25
다크 나이트 라이즈,워너브러더스 코리아(주),6396528,2012-07-19
연가시,씨제이이앤엠(주),4513026,2012-07-05
어메이징 스파이더맨,한국소니픽쳐스릴리징브에나비스타영화㈜,4853123,2012-06-28
후궁 : 제왕의 첩,롯데쇼핑㈜롯데엔터테인먼트,2621436,2012-06-06
마다가스카3 : 이번엔 서커스다!,씨제이이앤엠(주),1626704,2012-06-06
차형사,씨제이이앤엠(주),1346754,2012-05-30
맨 인 블랙 3,한국소니픽쳐스릴리징브에나비스타영화㈜,3379762,2012-05-24
돈의 맛,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",1165488,2012-05-17
내 아내의 모든 것,(주)넥스트엔터테인먼트월드(NEW),4598583,2012-05-17
코리아,씨제이이앤엠(주),1857392,2012-05-03
어벤져스,한국소니픽쳐스릴리징브에나비스타영화㈜,7074867,2012-04-26
은교,롯데쇼핑㈜롯데엔터테인먼트,1346274,2012-04-25
배틀쉽,유니버설픽쳐스인터내셔널 코리아(유),2241687,2012-04-11
간기남,(주)쇼박스,1246185,2012-04-11
건축학개론,롯데쇼핑㈜롯데엔터테인먼트,4110645,2012-03-22
언터처블: 1%의 우정,(주)넥스트엔터테인먼트월드(NEW),1719772,2012-03-22
화차,필라멘트픽쳐스,2435211,2012-03-08
러브픽션,(주)넥스트엔터테인먼트월드(NEW),1726202,2012-02-29
하울링,씨제이이앤엠(주),1612554,2012-02-16
범죄와의 전쟁: 나쁜놈들 전성시대,(주)쇼박스,4710454,2012-02-02
점박이:한반도의 공룡3D,씨제이이앤엠(주),1040636,2012-01-26
잃어버린 세계를 찾아서 2: 신비의 섬,워너브러더스 코리아(주),1149628,2012-01-19
부러진 화살,(주)넥스트엔터테인먼트월드(NEW),3450941,2012-01-18
댄싱퀸,씨제이이앤엠(주),4057546,2012-01-18
장화신은 고양이,씨제이이앤엠(주),2080154,2012-01-12
퍼펙트 게임,롯데쇼핑㈜롯데엔터테인먼트,1507084,2011-12-21
마이 웨이,"에스케이플래닛(주),씨제이이앤엠(주)",2142622,2011-12-21
셜록홈즈 : 그림자 게임,워너브러더스 코리아(주),2239156,2011-12-21
미션임파서블:고스트프로토콜,씨제이이앤엠(주),7575899,2011-12-15
오싹한 연애,씨제이이앤엠(주),3001530,2011-12-01
브레이킹 던 part1,(주)넥스트엔터테인먼트월드(NEW),1462280,2011-11-30
특수본,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",1118258,2011-11-24
신들의 전쟁,(주)넥스트엔터테인먼트월드(NEW),1338411,2011-11-10
완득이,씨제이이앤엠(주),5310510,2011-10-20
